Loan_id,Customer_id,Current Loan Amount,Term,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt
LN-1000092,EXXYLNFDFJ,99999999.0,Short Term,1507992.0,5 years,Rent,Debt Consolidation,22117.14
LN-1000093,YCTSLMKEJB,99999999.0,Short Term,1367582.0,8 years,Rent,Debt Consolidation,22793.16
LN-1000094,DX0R2906Z6,219956.0,Short Term,1994601.0,3 years,Home Mortgage,Debt Consolidation,17785.14
LN-1000095,6CJW3P85CA,223806.0,Short Term,1159722.0,9 years,Home Mortgage,Debt Consolidation,19425.41
LN-1000096,1S5R6APUJA,659472.0,Long Term,2278176.0,10+ years,Rent,Debt Consolidation,54296.49
LN-1000097,4OHK0T6TED,454630.0,Long Term,2020935.0,10+ years,Home Mortgage,Debt Consolidation,25093.3
LN-1000098,Q3CBZ6ZUJU,,,,,,,
LN-1000099,R87V2BKQPX,88902.0,Short Term,575814.0,10+ years,Rent,Medical Bills,12092.17
LN-1000100,GKKMT37KFY,198198.0,Short Term,,6 years,Home Mortgage,Debt Consolidation,14644.63
LN-1000101,5MUGTDTVY3,303094.0,Short Term,1116972.0,< 1 year,Rent,Debt Consolidation,8647.28
LN-1000102,PHU7EAC26Q,451330.0,Long Term,1104014.0,3 years,Home Mortgage,Debt Consolidation,14076.15
LN-1000103,5AF4MYOIJH,26422.0,Short Term,665399.0,10+ years,Rent,Debt Consolidation,13418.75
LN-1000104,PQ9HBW2K7A,341748.0,L,1456350.0,10+ years,Home Mortgage,Debt Consolidation,23908.46
LN-1000105,4NPBDTPHE2,112420.0,Short Term,,6 years,Rent,Other,22930.34
LN-1000106,ORESP426X5,176572.0,Short Term,,10+ years,Own Home,Home Improvements,9993.62
LN-1000107,Y70SC1G6C8,388168.0,Short Term,1042929.0,2 years,Own Home,Business Loan,0.0
LN-1000108,SPZC8DXPXS,99999999.0,Short Term,481612.0,5 years,Rent,other,6461.52
LN-1000109,EEM1TASLN0,376486.0,Short Term,836114.0,10+ years,Home Mortgage,Debt Consolidation,5016.57
LN-1000110,YLQD606HYJ,553542.0,Long Term,2044685.0,< 1 year,Home Mortgage,other,51628.13
LN-1000111,SN4M55HTJJ,59532.0,Short Term,660288.0,5 years,Rent,Debt Consolidation,11885.07
LN-1000112,U7OY7C1S6Y,404404.0,Long Term,,10+ years,Home Mortgage,Debt Consolidation,13969.94
LN-1000113,MFH7AZNLUL,107470.0,Short Term,714609.0,5 years,Home Mortgage,Debt Consolidation,13815.66
LN-1000114,8P9XS02NHR,120032.0,Short Term,226176.0,5 years,Rent,Medical Bills,2205.14
LN-1000115,PYI5AK2GM0,446996.0,Long Term,,4 years,Rent,Debt Consolidation,27666.28
LN-1000116,4KHT2JQ55Q,,,,,,,
LN-1000117,FHPPNRM2N5,111408.0,Short Term,1346891.0,3 years,Rent,Debt Consolidation,19529.91
LN-1000118,QEMUYKH7DT,,,,,,,
LN-1000119,DEIMX3XVKD,264946.0,Long Term,1125028.0,10+ years,Rent,Debt Consolidation,22781.95
LN-1000120,SRA3I9MI45,493746.0,Short Term,1650074.0,10+ years,Home Mortgage,Debt Consolidation,11303.1
LN-1000121,R6UHWQWO1Y,319462.0,Long Term,1159741.0,10+ years,Home Mortgage,Debt Consolidation,25707.57
LN-1000122,O0INAO03J1,267322.0,Long Term,,7 years,Own Home,Debt Consolidation,14329.99
LN-1000123,M4DED3GG0G,112244.0,Short Term,765814.0,2 years,Home Mortgage,Debt Consolidation,8104.83
LN-1000124,RUNDDTYT51,648252.0,Long Term,1492944.0,7 years,Home Mortgage,Debt Consolidation,26624.32
LN-1000125,CAMVCR4J4H,104104.0,Long Term,1191699.0,10+ years,Rent,other,5640.53
LN-1000126,3KU5BV7CA5,104522.0,LT,461605.0,2 years,Rent,Debt Consolidation,9501.52
LN-1000127,BFXIIIBQXY,350526.0,Long Term,1135212.0,1 year,Home Mortgage,Debt Consolidation,15609.26
LN-1000128,9H5ZYPEJU1,64768.0,ST,,< 1 year,Home Mortgage,Home Improvements,29206.99
LN-1000129,VQE6BNI33P,240152.0,Short Term,1093621.0,3 years,Home Mortgage,Home Improvements,13542.63
LN-1000130,D68O4Q1YM8,330770.0,Long Term,1428287.0,6 years,Home Mortgage,Debt Consolidation,17258.27
LN-1000131,8UWO3DYWUK,327558.0,Short Term,1320158.0,< 1 year,Home Mortgage,Debt Consolidation,43345.08
LN-1000132,EIHW8OI8R5,784256.0,Long Term,2418947.0,4 years,Home Mortgage,Debt Consolidation,42533.02
LN-1000133,FLOGM6LW2N,57992.0,Short Term,968202.0,1 year,Rent,Debt Consolidation,10166.14
LN-1000134,229TP0W9RT,334268.0,Short Term,,10+ years,Rent,Debt Consolidation,15480.44
LN-1000135,P5FQ3K1LJ8,242572.0,Long Term,1496440.0,10+ years,Home Mortgage,Debt Consolidation,26187.7
LN-1000136,QO35YRNADK,538714.0,Short Term,1356999.0,10+ years,Home Mortgage,Debt Consolidation,23408.19
LN-1000137,YHZ0F3E815,86812.0,Short Term,749664.0,1 year,Home Mortgage,Debt Consolidation,2586.28
LN-1000138,61GT80Q3BU,219626.0,Short Term,,5 years,Home Mortgage,Debt Consolidation,40477.03
LN-1000139,3PZNPMXDVW,125004.0,Short Term,,3 years,Rent,Debt Consolidation,17375.5
LN-1000140,1XH9QSO6LK,353122.0,Long Term,1048344.0,10+ years,Home Mortgage,Debt Consolidation,11418.24
LN-1000141,K03HJK584D,99999999.0,Short Term,1688625.0,2 years,Own Home,Debt Consolidation,24485.11
LN-1000142,V32CKAQ4Z4,377960.0,Short Term,1420896.0,10+ years,Home Mortgage,Debt Consolidation,17524.46
LN-1000143,SVW00TTKF5,686290.0,Short Term,1238610.0,1 year,Home Mortgage,Business Loan,9712.8
LN-1000144,VJNEKLD8HE,172348.0,Short Term,1823449.0,10+ years,Home Mortgage,Debt Consolidation,25984.21
LN-1000145,BYERZRYT8R,175912.0,Short Term,569715.0,2 years,Home Mortgage,Debt Consolidation,10919.49
LN-1000146,ID9FYP7ZY4,267410.0,Long Term,1758241.0,< 1 year,Home Mortgage,Home Improvements,43223.1
LN-1000147,A7AVHAUZ0I,99999999.0,Short Term,677559.0,3 years,Rent,Other,7114.36
LN-1000148,632AIZ6BOW,646404.0,Short Term,7443440.0,6 years,Home Mortgage,Debt Consolidation,78156.12
LN-1000149,2N2119NGLF,177452.0,Short Term,574731.0,3 years,Rent,Debt Consolidation,2586.28
LN-1000150,2SCZVZ47ZT,379676.0,Short Term,1311095.0,< 1 year,Home Mortgage,Debt Consolidation,9680.31
LN-1000151,5KLELU0Q2G,314006.0,Short Term,1259092.0,10+ years,Home Mortgage,Debt Consolidation,6746.52
LN-1000152,0DXQ15ZRH3,219428.0,Short Term,852777.0,5 years,Rent,Debt Consolidation,16131.76
LN-1000153,Z5SKZRR1RD,107822.0,Short Term,1303666.0,10+ years,Rent,Debt Consolidation,22488.21
LN-1000154,UHSNWX8ET2,754226.0,Short Term,2265636.0,10+ years,Home Mortgage,Debt Consolidation,34550.93
LN-1000155,3BBEFW6VJZ,327756.0,Long Term,698212.0,8 years,Home Mortgage,Debt Consolidation,5876.7
LN-1000156,9OK9PLWRL1,171732.0,Short Term,711949.0,4 years,Rent,Debt Consolidation,11450.35
LN-1000157,LMNBMMZE66,289916.0,Short Term,924502.0,10+ years,Rent,Debt Consolidation,20647.11
LN-1000158,SP65OOXD73,221892.0,Short Term,2721199.0,2 years,Home Mortgage,Debt Consolidation,30840.23
LN-1000159,ILUCJR7X3N,154220.0,Short Term,808640.0,5 years,Rent,Debt Consolidation,11523.12
LN-1000160,QVXRPOADQZ,765842.0,Short Term,2910192.0,10+ years,Home Mortgage,Buy House,29587.18
LN-1000161,QQF5APIZ60,170632.0,Short Term,,4 years,Home Mortgage,Debt Consolidation,14162.6
LN-1000162,HY4Y0LFH3L,759462.0,Long Term,7495880.0,10+ years,Rent,Debt Consolidation,81205.24
LN-1000163,SWIQKJBXG3,329054.0,Short Term,,2 years,Home Mortgage,Debt Consolidation,52591.05
LN-1000164,H1XH9ZHRBZ,343596.0,Long Term,927295.0,8 years,Home Mortgage,other,27741.52
LN-1000165,X9FE1TWK1Z,311608.0,Short Term,1838307.0,6 years,Rent,Debt Consolidation,25583.12
LN-1000166,0HX94SRW1R,472076.0,Long Term,1237508.0,2 years,Home Mortgage,Debt Consolidation,23997.38
LN-1000167,7GO1NWYZU9,171820.0,Short Term,1669473.0,10+ years,Home Mortgage,Debt Consolidation,29076.65
LN-1000168,0XNP6YM8LM,177276.0,Short Term,608608.0,5 years,Rent,Buy a Car,8165.44
LN-1000169,KICY43H0Q4,479798.0,Short Term,,5 years,Home Mortgage,Debt Consolidation,20404.29
LN-1000170,U6UHGW0LZM,704726.0,Long Term,1677681.0,10+ years,Rent,Debt Consolidation,23347.77
LN-1000171,QHQKDKN5KT,88880.0,Short Term,997709.0,10+ years,Rent,Debt Consolidation,14541.46
LN-1000172,3SQPEGZAKZ,199628.0,Short Term,718751.0,4 years,Own Home,Home Improvements,14794.16
LN-1000173,B4LY8R8OYS,402380.0,Long Term,926687.0,8 years,Home Mortgage,Debt Consolidation,11815.15
LN-1000174,LNPEP3POA0,535436.0,L,1202320.0,3 years,Rent,Debt Consolidation,21892.18
LN-1000175,ZRGZJC26LD,538340.0,Long Term,1673748.0,3 years,Rent,Debt Consolidation,15342.69
LN-1000176,P1JNYS2KS7,103488.0,Short Term,744800.0,10+ years,Rent,Debt Consolidation,11172.0
LN-1000177,IW8DPNUKR1,218416.0,Long Term,950703.0,3 years,Own Home,other,26619.76
LN-1000178,TIX484R6HR,366960.0,Short Term,719682.0,10+ years,Rent,Debt Consolidation,14813.54
LN-1000179,A4F4DQPN4V,337854.0,Long Term,897769.0,2 years,Rent,Debt Consolidation,27456.9
LN-1000180,O89CCCS2J5,213026.0,Short Term,,3 years,Rent,Debt Consolidation,10999.29
LN-1000181,YFZ835VDS1,99999999.0,Long Term,950095.0,5 years,Rent,Debt Consolidation,21218.44
LN-1000182,QSH3JG5O1O,781704.0,Short Term,3086208.0,5 years,Rent,Debt Consolidation,36263.02
LN-1000183,RPF9U05B0U,99999999.0,Short Term,1281455.0,8 years,Rent,other,42501.86
LN-1000184,4GWFDA32N1,539990.0,Long Term,2201188.0,5 years,Home Mortgage,Debt Consolidation,16692.26
LN-1000185,EO8WR23FO0,525514.0,Short Term,2647498.0,< 1 year,Home Mortgage,Debt Consolidation,28460.67
LN-1000186,JCAG5PGTGD,373824.0,Long Term,717459.0,5 years,Own Home,Debt Consolidation,11658.59
LN-1000187,NW1S15VRKC,292490.0,Short Term,,10+ years,Home Mortgage,Debt Consolidation,23110.84
LN-1000188,DE3ES1II0O,324984.0,Short Term,991686.0,,Home Mortgage,Debt Consolidation,14379.58
LN-1000189,JCQ9TBG8I6,330374.0,Long Term,2187413.0,10+ years,Home Mortgage,Debt Consolidation,57054.72
LN-1000190,EKMMAQXOFD,360316.0,Short Term,1697346.0,10+ years,Home Mortgage,Debt Consolidation,35361.47
LN-1000191,LXLPA69B0X,131868.0,Short Term,759240.0,10+ years,Rent,Debt Consolidation,11135.52
LN-1000192,O2O49ZHEXK,509410.0,Short Term,,3 years,Rent,Debt Consolidation,25397.87
LN-1000193,0JTP9CFLZG,330528.0,Short Term,761216.0,3 years,Rent,Debt Consolidation,18522.91
LN-1000194,22IPURO2FQ,646404.0,Short Term,1451467.0,7 years,Rent,Debt Consolidation,23949.31
LN-1000195,RSPM9KD534,99999999.0,Short Term,1941610.0,4 years,Home Mortgage,Home Improvements,14367.99
LN-1000196,OZK9KOMC11,190850.0,Short Term,863360.0,10+ years,Home Mortgage,Debt Consolidation,20216.76
LN-1000197,RJXWYXODU8,358820.0,Long Term,1375163.0,1 year,Rent,Debt Consolidation,11688.99
LN-1000198,K117ZH9O94,774400.0,Short Term,2331205.0,4 years,Home Mortgage,Debt Consolidation,55172.01
LN-1000199,VE674KTE1E,217976.0,Short Term,,2 years,Home Mortgage,Debt Consolidation,12750.9
LN-1000200,OWGW68OUKM,99999999.0,Short Term,1630257.0,4 years,Home Mortgage,Debt Consolidation,18747.87
LN-1000201,KCCKZ9FOOZ,132616.0,Short Term,,2 years,Rent,Debt Consolidation,18658.19
LN-1000202,S411QGO5FV,132946.0,Short Term,744838.0,6 years,Rent,Debt Consolidation,9931.3
LN-1000203,8XZCSP69RF,99999999.0,Short Term,874057.0,4 years,Rent,Debt Consolidation,2578.49
LN-1000204,O2NAVHVKBC,764698.0,Long Term,3113378.0,4 years,Home Mortgage,Home Improvements,4851.84
LN-1000205,1334O1DTXS,131802.0,Short Term,379430.0,8 years,Home Mortgage,Debt Consolidation,7999.76
LN-1000206,YAPCCD5HZS,453662.0,Long Term,890625.0,3 years,Rent,Debt Consolidation,19742.14
LN-1000207,5454JKI9Y1,352594.0,Short Term,856463.0,10+ years,Rent,other,1748.76
LN-1000208,SL2JTR27Y5,328416.0,Short Term,1039984.0,2 years,Rent,Debt Consolidation,11526.35
LN-1000209,T0IYYS8BVW,327272.0,Short Term,753692.0,3 years,Rent,Debt Consolidation,11807.93
LN-1000210,WXW2MOPGF9,99999999.0,Short Term,1001376.0,7 years,Rent,Debt Consolidation,7585.37
LN-1000211,WJ1158UPS6,439692.0,Short Term,1993613.0,< 1 year,Home Mortgage,Home Improvements,40370.44
LN-1000212,YTP9FSD80A,330396.0,Long Term,1141368.0,10+ years,Rent,Debt Consolidation,18261.85
LN-1000213,C70GSWO143,433752.0,Long Term,842859.0,2 years,Own Home,Debt Consolidation,14047.65
LN-1000214,3LQENGYT6M,773168.0,Short Term,2480127.0,10+ years,Home Mortgage,Debt Consolidation,56009.53
LN-1000215,90ZQT1OIC1,196878.0,Short Term,1039053.0,1 year,Home Mortgage,Debt Consolidation,19828.4
LN-1000216,4HLGAG3XWZ,99999999.0,Short Term,1057445.0,10+ years,Home Mortgage,Debt Consolidation,23175.44
LN-1000217,PSYWIM6FJD,240768.0,Short Term,598082.0,6 years,Own Home,Debt Consolidation,6628.91
LN-1000218,R38M1U1AFT,439384.0,Long Term,,10+ years,Home Mortgage,Debt Consolidation,31333.85
LN-1000219,KKT0KL2FUG,222970.0,Short Term,558220.0,< 1 year,Home Mortgage,other,1041.96
LN-1000220,XR6APHCRR6,133562.0,Short Term,1114996.0,,Rent,Debt Consolidation,20255.9
LN-1000221,S7ULLHA3XX,99999999.0,Short Term,581913.0,1 year,Rent,Debt Consolidation,7516.4
LN-1000222,L8HBWMXM23,430804.0,Long Term,930145.0,2 years,Rent,Debt Consolidation,11316.78
LN-1000223,J8DHRMM504,379280.0,Long Term,,10+ years,Home Mortgage,Debt Consolidation,12981.75
LN-1000224,N7IUWFWT6I,21890.0,Short Term,1058471.0,1 year,Rent,Take a Trip,10761.03
LN-1000225,0OPZ3MPCFM,331694.0,Long Term,802066.0,10+ years,Home Mortgage,Debt Consolidation,9223.74
LN-1000226,OQSKIR4NXR,99999999.0,Short Term,574161.0,< 1 year,Rent,Debt Consolidation,6746.33
LN-1000227,MRGIPNOKYN,322982.0,Short Term,,10+ years,Rent,Debt Consolidation,29901.25
LN-1000228,8N4I413SLE,108944.0,Long Term,,< 1 year,Rent,other,2239.53
LN-1000229,CXM0UIOZWT,,,,,,,
LN-1000230,53ZPVS5WLX,99999999.0,Short Term,1387152.0,10+ years,Home Mortgage,Debt Consolidation,17108.17
LN-1000231,WGFLB2GZVT,99999999.0,Short Term,760152.0,,Rent,Debt Consolidation,18243.61
LN-1000232,7ZQHB0AZ81,130680.0,Short Term,564300.0,2 years,Home Mortgage,Debt Consolidation,4119.39
LN-1000233,U89TDTHMU8,216458.0,Short Term,1560964.0,3 years,Rent,Debt Consolidation,8676.35
LN-1000234,LOZVZE2AA5,,,,,,,
LN-1000235,12QCM7EZCB,655776.0,Long Term,1699056.0,2 years,Home Mortgage,Debt Consolidation,32126.34
LN-1000236,CY1J3XNHD8,658944.0,S,2246940.0,10+ years,Home Mortgage,Debt Consolidation,50743.68
LN-1000237,F5AEEVF21K,645832.0,Long Term,1073443.0,10+ years,Rent,Debt Consolidation,19778.05
LN-1000238,Q9QMK4M0DP,67540.0,Short Term,388816.0,1 year,Own Home,other,1010.99
LN-1000239,FBWJWYVPWQ,129514.0,Short Term,974548.0,10+ years,Rent,Debt Consolidation,22333.55
LN-1000240,0JN3MSD2G2,611622.0,Long Term,1263956.0,10+ years,Home Mortgage,Debt Consolidation,24647.18
LN-1000241,OHB86PCH4G,347094.0,Short Term,1141938.0,10+ years,Rent,Debt Consolidation,24075.85
LN-1000242,LOMG04LU0I,216084.0,Short Term,,9 years,Own Home,Debt Consolidation,30284.48
LN-1000243,TN4K1IM8LU,270512.0,Short Term,1273285.0,1 year,Rent,Debt Consolidation,18791.76
LN-1000244,BDK80IW4TT,281556.0,Short Term,610318.0,8 years,Rent,Debt Consolidation,3397.39
LN-1000245,S7OIOQTLRR,254584.0,Short Term,1074450.0,7 years,Own Home,Debt Consolidation,18892.46
LN-1000246,5SQVHG1O3H,224202.0,Short Term,619609.0,2 years,Rent,Debt Consolidation,17504.13
LN-1000247,6YSGOVQUHU,75482.0,Short Term,181982.0,2 years,Rent,Debt Consolidation,5535.08
LN-1000248,0M9G7R8UPV,225324.0,Short Term,1945980.0,< 1 year,Rent,Debt Consolidation,31784.34
LN-1000249,NYH8R0PV3E,99999999.0,Short Term,1568279.0,8 years,Home Mortgage,Home Improvements,16989.61
LN-1000250,C9F3F6YNW6,225148.0,Short Term,,1 year,Rent,Debt Consolidation,11468.21
LN-1000251,U38Z486TPA,554950.0,LT,958550.0,3 years,Home Mortgage,Debt Consolidation,16055.76
