BranchId,Bank_Name,Branch_Registration,Bank_city
BR-00183,SBI,INBR46742437,Hosur
BR-00184,AXIS,INBR31708823,Lucknow
BR-00185,IDFC,INBR15313914,Nagaon
BR-00186,HSBC,INBR62501589,Muzaffarnagar
BR-00187,SBI,INBR83101884,Dibrugarh
BR-00188,AXIS,INBR29924718,Orai
BR-00189,ICICI,INBR51003394,Rewa
BR-00190,ICICI,INBR45028378,Tezpur
BR-00191,IDFC,INBR96049651,Karaikudi
BR-00192,HDFC,INBR42981749,Chapra
BR-00193,IDFC,INBR14871864,Varanasi
BR-00194,HSBC,INBR42427395,Maheshtala
BR-00195,SBI,INBR92990084,Jamshedpur
BR-00196,AXIS,INBR49917067,Tirupati
BR-00197,AXIS,INBR21146985,Muzaffarnagar
BR-00198,HDFC,INBR72754318,Berhampore
BR-00199,HDFC,INBR59549564,Burhanpur
BR-00200,SBI,INBR17332941,Parbhani
